ID,SMILES,MolWt,SA_score,NumAtoms,Total_Energy_Ha,HOMO_eV,LUMO_eV,BandGap_eV,Absorption_nm,,,
GQD47,C1=CC2=Cc3cccc4c5c6c7c(c34)C2C(=C1)C1=CC=CC(=C2C=CC=C(c3cc4cc8c(cc4cc3-5)c3c4c5c(cccc58)=CC5=CC=CC(=c8ccccc8=3)C54)C26)C17,752.916,5.835,60,-202.6180762,-8.836,-8.6133,0.222676547,5568.615181,,,
GQD48,C1=CC2=c3ccccc3=c3c4c5c(cccc5c5cc6c7cccc8cc9ccccc9c(c9cccc(c35)c69)c87)=CC(=C1)C24,564.687,3.96,45,-147.025706,-9.112,-8.0839,1.028154008,1206.044999,,,
GQD49,c1ccc2cc3c(ccc4ccc5c6ccc7cccc8c9cccc%10ccc(c5c43)c(c%109)c6c78)cc2c1,476.578,2.254,38,-110.7811612,-9.1637,-7.7908,1.372941756,903.1701415,,,
GQD50,C1=CC2=c3ccc4cc5cc6ccccc6c6c7cc8c(cc7c7cc(c3c4c7c56)C3=Cc4ccccc4C(=C1)C32)C1=c2ccccc2=CC2=Cc3ccccc3C(=C8)C21,752.916,4.927,60,-108.6718674,-9.2734,-7.8282,1.445165455,858.0332416,,,
GQD51,c1ccc2c(c1)ccc1ccc3cc4ccc5c(ccc6c5ccc5ccc7c(ccc8c9cc%10c%11c(cc%12c%13cccc%14c%15cccc%16cc%17ccc(c78)c7c%17c(c%16%15)c(c%14%13)c(c%12%10)c97)c7cccc8cc9cccc%10ccc%11c(c%109)c87)c56)c4cc3c12,1073.266,3.833,86,-127.8383069,-9.0314,-8.1767,0.854759263,1450.700862,,,
GQD52,C1=CC2=c3ccc4cc5cc6ccccc6c6c7cc8cc9c%10c%11c%12c%13c(cc%14ccc%15ccc%16ccc%17cc%18c%19c%20ccc%21ccccc%21c%20cc%20c(c7c7cc(c3c4c7c56)C3=Cc4ccccc4C(=C1)C32)c8c%10c(c%20%19)c%12c%18c1c%17c%16c%15c%14c%131)=C1C=CC=C(C=9)C1%11,1145.332,5.929,92,-197.3408333,-8.8376,-8.518,0.319597586,3879.879118,,,
GQD53,c1ccc2c(c1)ccc1cc3cc4cc5ccc6ccc7cc8ccc9ccccc9c8cc7c6c5cc4cc3cc12,528.654,2.278,42,-127.7489365,-9.5001,-7.7335,1.766544036,701.9355163,,,
GQD54,c1ccc2c(c1)ccc1c2ccc2c3cc4c5c(cc6c7cccc8c9cccc%10cc%11ccc(c12)c1c%11c(c%109)c(c87)c(c64)c31)c1cccc2cc3cccc4c6cc7c8cccc9ccc%10cc%11c%12ccccc%12ccc%11c(c7cc6c5c(c34)c21)c%10c98,,,,-105.5530935,-9.4504,-7.9478,1.502643432,825.2124047,,,
GQD55,C1=CC2=c3ccccc3=c3ccc4c5c3C2C(=C1)C=c5cc1c4cc2ccc3c4c(cc5c6cccc7c8cccc9cc%10ccc%11c%12c%13ccc%14ccccc%14c%13ccc%12c%12cc4c5c4c%12c%11c%10c(c98)c4c76)c4cccc5cc1c2c3c54,1035.217,4.937,83,-118.2441449,-8.9858,-8.2143,0.771454953,1607.352439,,,
GQD56,C1=CC2=c3cc4ccccc4c4ccc5cc6cc7cc8cc9c(cc8cc7c7c6c(c5c34)C2C(=C1)C=7)C1=Cc2ccccc2C2=c3ccccc3=CC(=C9)C12,702.856,4.931,56,-197.3557439,-8.9228,-8.5478,0.374957082,3307.045151,,,
GQD57,C1=CC2=c3cc4ccccc4c4ccc5cc6cc7c(ccc8c7ccc7ccc9ccc%10cc%11ccc%12ccccc%12c%11cc%10c9c78)c7c6c(c5c34)C2C(=C1)C=7,714.867,4.152,57,-108.6496948,-9.1292,-8.1464,0.982794412,1261.708436,,,
GQD58,C1=C2C=c3ccccc3=C3c4cc5c(cc4C=C(c4ccccc41)C23)c1c2c3ccc4ccccc4c3ccc2c2cc3c4c(cc6c7cccc8c9cccc%10cc5c5c1c2c(c63)c(c87)c5c%109)c1cccc2cc3cccc5ccc4c(c53)c21,1061.255,4.891,85,-118.2366349,-9.1614,-8.1899,0.971488174,1276.392274,,,
GQD59,C1=CC2=CC=CC3=CC4=Cc5c6cc7ccc8c(cc9c%10cccc%11cc%12c%13c%14c%15c%16c(cc%17ccc%18ccc%19ccc%20cc%21c8c9c(c%13c%11%10)c%15c%21c8c%20c%19c%18c%17c%168)=C8C=CC=C(C=%12)C8%14)c7cc6cc6cccc(c56)C4C(=C1)C23,985.157,5.956,79,-209.1494644,-8.9182,-8.5439,0.37430772,3312.782328,,,
GQD60,C1=CC2=c3cc4ccc5cc6c(ccc7cc8ccccc8cc76)cc5c4c4ccc5cc6cc7ccccc7c7c6c(c5c34)C2C(=C1)C=7,614.747,4.048,49,-213.3654145,-8.9736,-8.0204,0.953173398,1300.917548,,,
GQD61,C1=CC2=CC=c3c4c5c(c6ccccc6cc5c5cc6c7cccc8cccc(c87)c7c8ccccc8cc(c35)c67)=CC(=C1)C24,564.687,3.938,45,-113.9226966,-8.9807,-8.2086,0.772101816,1606.005807,,,
GQD62,C1=CC2=CC=CC3=Cc4cc5ccc6c7cccc8c7c(cc6c5cc4C(=C1)C23)C1C(=C8)C=C2C=CC=C3C=CC=C1C32,542.681,5.037,43,-213.084215,-8.8894,-8.1809,0.708508945,1750.154333,,,
GQD63,C1=CC2=Cc3cccc4c5c6c7c(c34)C2C(=C1)C1=CC=CC(=C2C=CC=C(c3c-5ccc4c3c3ccccc3c3ccc5c8cc9c%10c(cc%11c%12cccc%13c%14cccc%15cc%16ccc(c5c34)c3c%16c(c%15%14)c(c%13%12)c(c%119)c83)c3cccc4cc5cccc8ccc%10c(c85)c43)C26)C17,1185.397,5.974,95,-111.7353458,-8.7469,-8.464,0.282866577,4383.692174,,,
GQD64,C1=CC2=c3cc4ccc5c(c4cc3=c3ccc4cccc6c4c3C2C(=C1)C=6)c1cccc2ccc3cc4c6ccccc6ccc4c5c3c21,614.747,4.076,49,-135.2092441,-8.8683,-8.0558,0.812493234,1526.166555,,,
GQD65,C1=C2C=c3ccccc3=C3c4ccccc4C=C(c4ccc5c(ccc6c5ccc5c6cc6ccc7cc8c9ccccc9ccc8c8c9ccccc9c5c6c78)c41)C23,740.905,4.032,59,-124.472235,-8.8668,-8.1822,0.684604713,1811.264189,,,
GQD66,C1=CC2=c3cc4ccc5c(cc6c7cccc8cc9ccccc9c(c9cccc5c69)c87)c4c4ccc5cc6cc7ccccc7c7c6c(c5c34)C2C(=C1)C=7,688.829,4.17,55,-100.0300442,-8.8927,-8.266,0.626710812,1978.584024,,,
GQD67,C1=CC2=Cc3cccc4cc5ccc6cc7cc8c(ccc9cc%10ccc%11ccc%12ccccc%12c%11c%10cc98)cc7c7c6c5c(c34)C2C7=C1,614.747,3.954,49,-107.4789233,-9.2589,-7.9428,1.316074091,942.1961943,,,
GQD68,c1ccc2c(c1)ccc1c2ccc2c3cc4c5c6ccc7cccc8cc9cc%10ccc%11c%12c%13ccc%14ccccc%14c%13cc%13ccc%14cccc(c%14c%13%12)c%11c%10c(c5cc5c%10cccc%11c%12cccc%13cc%14ccc(c12)c1c%14c(c%13%12)c(c%11%10)c(c54)c31)c9c6c78,,,,-199.5059221,-8.9667,-8.5498,0.41690611,2974.290782,,,
GQD69,c1ccc2c(c1)ccc1ccc3cc4ccc5ccc6ccc7ccc8c(ccc9c%10cc%11c%12c(cc%13c%14cccc%15c%16cccc%17cc%18ccc(c89)c8c%18c(c%17%16)c(c%15%14)c(c%13%11)c%108)c8cccc9cc%10cccc%11ccc%12c(c%11%10)c98)c7c6c5c4cc3c12,1073.266,3.807,86,-118.2532419,-9.1825,-8.0179,1.16460719,1064.736686,,,
GQD70,c1ccc2c(c1)c1cccc3c4ccc5cc6c(ccc7c6cc6ccc8cccc9c%10ccccc%10c7c6c89)cc5c4c4cccc2c4c13,626.758,2.532,50,-102.1560679,-9.0092,-7.9873,1.021908148,1213.416296,,,
GQD71,C1=CC2=CC=CC3=CC4=Cc5cccc6c5c(cc5c6cc6cccc7c8cccc9cc%10ccccc%10c(c98)c5c67)C4C(=C1)C23,578.714,4.295,46,-209.0847817,-8.9225,-8.1862,0.736303165,1684.088917,,,
GQD72,c1ccc2c(c1)ccc1cc3ccc4ccc5ccc6c(ccc7c8cccc9c%10ccccc%10c%10cccc(c67)c%10c98)c5c4c3cc12,602.736,2.435,48,-111.7573161,-9.0312,-8.1844,0.846776593,1464.376803,,,
GQD73,C1=CC2=CC=CC3=CC4=Cc5c6c(cc7ccccc7c6cc6ccc7cc8c9c(ccc%10cc%11cc%12ccccc%12c%12c%11c(c%109)C9C(=CC=CC=89)C=%12)c7c56)C4C(=C1)C23,740.905,5.378,59,-108.6501637,-8.9751,-8.2106,0.764437622,1622.1075,,,
GQD74,C1=CC2=c3ccccc3=c3ccc4cc5c(cc6c7cccc8cc9ccccc9c(c9cccc5c69)c87)c5c4c3C2C(=C1)C=5,564.687,3.958,45,-114.8760077,-8.8253,-8.2355,0.589728575,2102.662229,,,
GQD75,C1=CC2=CC=CC3=CC4=Cc5cccc6c5c(cc5c6ccc6cc7ccc8ccc9ccc%10cccc%11c%10c9c8c7c%11c65)C4C(=C1)C23,602.736,4.416,48,-94.7517424,-9.0315,-8.1642,0.867229804,1429.840158,,,
GQD76,C1=CC2=CC=CC3=CC4=Cc5c6cc7ccc8c9c(ccc8c7cc6cc6c5c(cc5ccccc56)C4C(=C1)C23)C1=Cc2ccccc2C2=c3ccccc3=CC(=C9)C12,742.921,5.236,59,-202.6009434,-8.8731,-8.5715,0.301597378,4111.441579,,,
GQD77,c1ccc2c(c1)ccc1c2ccc2c3cc4c5c(cc6c7cccc8c9cccc%10cc%11ccc(c12)c1c%11c(c%109)c(c87)c(c64)c31)c1cccc2cc3c4cc6c(cc4cc4ccc5c(c43)c21)c1cccc2c3ccccc3c3cccc6c3c21,1047.228,3.733,84,-154.4377185,-8.9852,-8.2556,0.729572472,1699.625531,,,
GQD78,C1=C2C=c3ccccc3=C3c4cc5ccc6c(c5cc4C=C(c4ccc5c(ccc7ccccc75)c41)C23)=C1c2ccccc2C=C2c3ccccc3C=C(C=6)C21,704.872,4.757,56,-120.4307408,-9.4535,-7.9882,1.465215734,846.2917584,,,
GQD79,c1ccc2c(c1)ccc1c2cc2ccc3cccc4c5ccc6cc7cccc8c9cccc%10cc%11ccccc%11c(c%109)c(c78)c6c5c1c2c34,626.758,2.57,50,-139.5586046,-8.9808,-8.1384,0.842409721,1471.967819,,,
GQD80,C1=C2C=c3ccccc3=C3c4c(ccc5cc6cc7c(ccc8ccccc87)cc6cc45)C=C(c4ccccc41)C23,516.643,3.673,41,-164.0151846,-8.9644,-8.2119,0.752495735,1647.849871,,,
GQD81,c1ccc2c(c1)c1cccc3c4ccc5cc6c7cccc8ccc9ccc%10ccc(c5c4c4cccc2c4c13)c6c%10c9c87,550.66,2.351,44,-220.8347463,-8.7622,-8.605,0.157191047,7888.489985,,,
GQD82,C1=CC2=c3ccc4cc5cc6ccccc6c6c7c(cc8c9cccc%10cccc(c%109)c9c%10ccccc%10cc7c89)c7cc(c3c4c7c56)C3=Cc4ccccc4C(=C1)C32,738.889,4.22,59,-152.2888927,-8.9667,-8.1223,0.844355118,1468.576401,,,
GQD83,C1=CC2=c3cc4ccc5c6c(cc7cc8cccc9ccc%10c%11c%12cc%13c%14ccc%15c%16ccccc%16ccc%15c%14c%14ccc%15cc%16cccc%17c%18cccc%19c(cc%11c6c7c%10c98)c%12c6c%13c%14c%15c(c%16%17)c6c%18%19)c6ccc7cc8c9c%10ccc%11ccccc%11c%10cc%10c%11cccc%12cc%13c%14c(c%15c3c3c4c5c6c7c3c8c%15c(c%14c%12%11)c%109)C2C(=C1)C=%13,,,,-192.1019846,-9.22,-8.0002,1.219725159,1016.622467,,,
GQD84,C1=CC2=c3ccc4cc5cc6ccccc6c6ccc7cc(c3c4c7c56)C3=Cc4cc5c(cc4C(=C1)C32)cc1cc2cccc3ccc4c6c(cc7c8cccc9c%10cccc%11cc%12ccc%13c%14c%15ccc%16ccccc%16c%15ccc%14c%14cc6c7c6c%14c%13c%12c(c%11%10)c6c98)c5c1c4c32,1209.419,5.335,97,-141.7317796,-9.0051,-8.1835,0.821596197,1509.257229,,,
GQD85,c1ccc2c(c1)ccc1cc3ccc4ccc5cc6c(ccc7c8cccc9c%10ccccc%10c%10cccc(c67)c%10c98)cc5c4c3cc12,602.736,2.504,48,-130.8538856,-8.9796,-8.1934,0.786194662,1577.217526,,,
